Docking Station Name,Docking Station ID,Docking Station Capacity,Latitude,Longitude
"South Parade, Chelsea",430,18,51.489,-0.17524
"Crinan Street, King's Cross",431,20,51.5345,-0.122203
"Exhibition Road Museums 1, South Kensington",432,22,51.497,-0.173894
"Wren Street, Holborn",433,33,51.5246,-0.116279
"Kennington Station, Kennington",435,23,51.4889,-0.105593
"Red Lion Street, Holborn",436,36,51.5182,-0.11655
"Vauxhall Walk, Vauxhall",437,27,51.4881,-0.120903
"Killick Street, King's Cross",439,22,51.5338,-0.118677
"Kennington Oval, Oval",440,33,51.4831,-0.113134
"Sail Street, Vauxhall",441,24,51.4957,-0.114605
"Walmer Road, Avondale",442,24,51.5101,-0.211358
"Philpot Street, Whitechapel",443,30,51.5153,-0.058641
"Bethnal Green Garden, Bethnal Green",444,24,51.5257,-0.055312
"Cheshire Street, Bethnal Green",445,28,51.5239,-0.065076
"York Hall, Bethnal Green",446,27,51.5289,-0.055894
"Jubilee Crescent, Cubitt Town",447,54,51.4934,-0.007542
"Fisherman's Walk West, Canary Wharf",448,36,51.5062,-0.02296
"Shadwell Station, Shadwell",449,35,51.5111,-0.057159
"Jubilee Street, Stepney",450,28,51.516,-0.053177
"Hermitage Court, Wapping",451,16,51.5047,-0.063531
"St. Katharine's Way, Tower",452,24,51.50586395,-0.070536636
"Garnet Street, Shadwell",453,24,51.5084,-0.055167
"Napier Avenue, Millwall",454,20,51.4877,-0.021582
"East Ferry Road, Cubitt Town",455,17,51.4945,-0.014409
"Parkway, Camden Town",456,33,51.5381,-0.144664
"Castlehaven Road, Camden Town",457,29,51.5421,-0.145393
"Wapping Lane, Wapping",458,28,51.5047,-0.057544
"Gunmakers Lane, Old Ford",459,17,51.5352,-0.03338
"Burdett Road, Mile End",460,33,51.5162,-0.029138
"Aston Street, Stepney",461,20,51.516,-0.038775
"Bonny Street, Camden Town",462,45,51.5416,-0.138853
"Thurtle Road, Haggerston",463,22,51.5348,-0.071881
"St. Mary & St. Michael Church, Stepney",464,25,51.5142,-0.052099
"Pitfield Street North,Hoxton",465,28,51.5321,-0.08299
"Whiston Road, Haggerston",466,21,51.5345,-0.076341
"Southern Grove, Bow",467,17,51.5235,-0.030556
"Cantrell Road, Bow",468,24,51.5216,-0.022694
"Lindfield Street, Poplar",469,44,51.5138,-0.020467
"Mostyn Grove, Bow",470,46,51.5305,-0.025492
"Hewison Street, Old Ford",471,19,51.5333,-0.028155
"Malmesbury Road, Bow",472,21,51.5295,-0.027616
"Millharbour, Millwall",473,19,51.4961,-0.019355
"Gascoyne Road, Victoria Park",474,20,51.541515,-0.038557746
"Lightermans Road, Millwall",475,57,51.499,-0.020157
"Stebondale Street, Cubitt Town",476,29,51.4891,-0.009205
"Spindrift Avenue, Millwall",477,36,51.4911,-0.018716
"Stepney Green Station, Stepney",478,21,51.5219,-0.04667
"Pott Street, Bethnal Green",479,20,51.5272,-0.058005
"Flamborough Street, Limehouse",480,25,51.5129,-0.0389866
"Saunders Ness Road, Cubitt Town",481,35,51.4871,-0.009001
"Exhibition Road Museums 2, South Kensington",482,14,51.4999,-0.174554
"Albert Gardens, Stepney",483,33,51.5133,-0.047784
"Bromley High Street, Bow",484,24,51.5288,-0.013258
"Old Ford Road, Bethnal Green",485,24,51.5311,-0.048017
"Granby Street, Shoreditch",486,37,51.5256,-0.069543
"Canton Street, Poplar",487,23,51.5118,-0.025626
"Reardon Street, Wapping",488,22,51.5069,-0.058681
"Christian Street, Whitechapel",489,34,51.5131,-0.064094
"Pennington Street, Wapping",490,45,51.5086,-0.065006
"Queen Mary's, Mile End",491,45,51.5225,-0.041378
"Maplin Street, Mile End",492,39,51.525501,-0.032267352
"South Quay East, Canary Wharf",494,36,51.502,-0.016251
"Bow Church Station, Bow",495,38,51.5282,-0.018703
"Devons Road, Bow",496,39,51.5251,-0.015578
"Merchant Street, Bow",497,27,51.5265,-0.028619
"Bow Road Station, Bow",498,41,51.5271,-0.025296
"Furze Green, Bow",499,36,51.5193,-0.021345
"Ansell House, Stepney",500,41,51.5198,-0.055731
"Cephas Street, Bethnal Green",501,24,51.5226,-0.054883
"Bonner Gate, Victoria Park",502,21,51.53361022,-0.049848492
"Cleveland Way, Stepney",503,36,51.52174717,-0.05135112
"St. John's Park, Cubitt Town",504,30,51.4965,-0.009506
"Ackroyd Drive, Bow",505,29,51.5204,-0.026768
"Bell Lane, Liverpool Street",506,23,51.5175,-0.075855
"Clarkson Street, Bethnal Green",507,31,51.5287,-0.059091
"Fournier Street, Whitechapel",508,18,51.5194,-0.074431
"Fore Street, Guildhall",509,19,51.5178,-0.090075
"Westferry DLR, Limehouse",510,41,51.5093,-0.025996
"Sutton Street, Shadwell",511,33,51.5111,-0.053558
"Pritchard's Road, Bethnal Green",512,30,51.5321,-0.06142
"Watney Market, Stepney",513,51,51.5142,-0.055656
"Portman Square, Marylebone",514,17,51.5162,-0.155525
"Russell Gardens, Olympia",515,24,51.50088913,-0.211530612
"Chrisp Street Market, Poplar",516,18,51.5112,-0.014438
"Ford Road, Old Ford",517,18,51.5325,-0.033085
"Antill Road, Mile End",518,30,51.5282,-0.037471
"Teviot Street, Poplar",519,33,51.5188,-0.011662
"Bancroft Road, Bethnal Green",520,21,51.526,-0.047218
"Driffield Road, Old Ford",521,19,51.5341,-0.037366
"Clinton Road, Mile End",522,36,51.5259,-0.036017
"Langdon Park, Poplar",523,24,51.5155,-0.013475
"Lancaster Gate , Bayswater",524,38,51.5117,-0.179668
"Blythe Road, Olympia",525,24,51.49707392,-0.213596562
"Lancaster Drive, Blackwall",526,27,51.5031,-0.008428
"Hansard Mews, Holland Park",527,20,51.5038,-0.215808
"Clarges Street, Mayfair",528,16,51.50796674,-0.145569543
"Manresa Road, Chelsea",529,18,51.4869,-0.170983
"Newby Place, Poplar",530,18,51.5089,-0.012413
"Twig Folly Bridge, Mile End",531,21,51.5303,-0.042744
"Jubilee Plaza, Canary Wharf",532,62,51.5036,-0.020068
"Wellington Row, Bethnal Green",533,33,51.5282,-0.069743
"Goldsmith's Row, Haggerston",534,27,51.5319,-0.066035
"Gloucester Avenue, Camden Town",535,24,51.5373,-0.147154
"Queensbridge Road, Haggerston",536,35,51.5339,-0.06992
"Old Montague Street, Whitechapel",537,18,51.5179,-0.067937
"Naval Row, Blackwall",538,21,51.509,-0.00699
"Hoxton Station, Hoxton",539,22,51.53783693,-0.076069633
"Albany Street, The Regent's Park",540,27,51.5283,-0.144466
"Green Park Station, Mayfair",541,28,51.50730717,-0.142972781
"Salmon Lane, Limehouse",542,33,51.5141,-0.033828
"Lansdowne Walk, Ladbroke Grove",543,21,51.51017829,-0.204193967
"Percival Street, Finsbury",544,22,51.5262,-0.102208
"Arlington Road, Camden Town",545,24,51.54,-0.145246
"New Fetter Lane, Holborn",546,21,51.5174,-0.107987
"East India DLR, Blackwall",547,51,51.5095,-0.002275
"Westminster Bridge Road, Elephant & Castle",548,26,51.4984,-0.107913
"Gaywood  Street, Elephant & Castle",549,45,51.496,-0.104193
"Harford Street, Mile End",550,23,51.5216,-0.039264
"Import Dock, Canary Wharf",551,26,51.5034,-0.016233
"Watney Street, Shadwell",552,27,51.5115,-0.056667
"Regent's Row , Haggerston ",553,24,51.5357,-0.062546
"Aberfeldy Street, Poplar",554,16,51.5135,-0.005659
"Heron Quays DLR, Canary Wharf",556,27,51.5027,-0.021596
"King Edward Street, St Pauls",557,20,51.516,-0.0985
"Page Street, Westminster",558,24,51.494,-0.127554
"Abbotsbury Road, Holland Park",559,24,51.5014,-0.205991
"Ladbroke Grove Central, Ladbroke Grove",560,21,51.51207772,-0.206006866
"Rectory Square, Stepney",561,22,51.5184,-0.043371
"Bury Place, Holborn",562,21,51.5175,-0.12335
"Preston's Road, Cubitt Town",563,26,51.4993,-0.009152
"Somerset House, Strand",564,41,51.5099,-0.117619
"Selby Street, Whitechapel",565,17,51.5219,-0.063386
"Westfield Ariel Way, White City",566,42,51.5092,-0.224103
"Bishop's Bridge Road West, Bayswater",568,18,51.5162,-0.18697
"Pitfield Street Central, Hoxton",569,30,51.5321,-0.08299
"Upper Bank Street, Canary Wharf",570,36,51.5031,-0.017676
"Westfield Southern Terrace ,Shepherd's Bush",571,29,51.5063,-0.218337
"Greenland Road, Camden Town",572,36,51.5391,-0.141728
"Limerston Street, West Chelsea",573,18,51.48628149,-0.180975459
"Eagle Wharf Road, Hoxton",574,45,51.5336,-0.09315
"Alpha Grove, Millwall",576,23,51.4973,-0.022793
"Globe Town Market, Bethnal Green",577,20,51.5289,-0.047548
"Hollybush Gardens, Bethnal Green",578,32,51.5276,-0.057133
"Queen Street 2, Bank",579,33,51.51135949,-0.092986629
"Doddington Grove, Kennington",580,36,51.4869,-0.102996
"New Cavendish Street, Marylebone",581,18,51.5192,-0.147983
"Abingdon Green, Westminster",583,20,51.49782987,-0.12597596
"Ilchester Gardens, Bayswater",584,21,51.5124,-0.19096
"Mudchute DLR, Cubitt Town",586,31,51.4906,-0.014582
"Monument Street, Monument",587,22,51.5096,-0.08497
"Hoxton Street, Hoxton",588,27,51.5296,-0.0801
"Drayton Gardens, West Chelsea",589,18,51.48884109,-0.179315347
"Greenberry Street, St.John's Wood",590,25,51.53272016,-0.168620002
"Westfield Library Corner, Shepherd's Bush",591,27,51.50623322,-0.224265918
"Bishop's Bridge Road East, Bayswater",592,20,51.5171,-0.18377
"Northdown Street, King's Cross",593,21,51.5311,-0.11934
"Kingsway Southbound, Strand",594,33,51.5139,-0.117774
"Hammersmith Road, Hammersmith",595,22,51.4933,-0.21985
"Parson's Green , Parson's Green",596,21,51.4728,-0.199783
"Fulham Park Road, Fulham",597,27,51.4735,-0.20782
"Southerton Road, Hammersmith",598,38,51.4945,-0.228188
"Manbre Road, Hammersmith",599,28,51.4857,-0.223616
"South Lambeth Road, Vauxhall",600,21,51.4817,-0.124642
"BBC White City, White City",601,36,51.5148,-0.225787
"Union Grove, Wandsworth Road",602,45,51.473,-0.133972
"Caldwell Street, Stockwell",603,44,51.4778,-0.116493
"St Martins Close, Camden Town",604,18,51.5388,-0.138535
"Seymour Place, Marylebone",605,19,51.5203,-0.163667
"Addison Road, Holland Park",606,26,51.5042,-0.210941
"Putney Bridge Station, Fulham",607,21,51.4688,-0.210279
"Colet Gardens, Hammersmith",608,30,51.4911,-0.216493
"Sugden Road, Clapham",609,19,51.46947241,-0.158301145
"Danvers Street, West Chelsea",610,21,51.4826,-0.172078
"Princedale Road , Holland Park",611,20,51.5065,-0.208487
"Wandsworth Rd, Isley Court, Wandsworth Road",612,30,51.4693,-0.141813
"Woodstock Grove, Shepherd's Bush",613,24,51.504,-0.2174
"London Fields, Hackney Central",614,19,51.54136342,-0.058815287
"Finlay Street, Fulham",615,24,51.4769,-0.215896
"Aintree Street, Fulham",616,24,51.481,-0.209973
"Elysium Place, Fulham",617,21,51.4711,-0.207843
"Eel Brook Common, Walham Green",618,24,51.4763,-0.193254
"Irene Road, Parsons Green",619,43,51.4738,-0.19701
"Surrey Lane, Battersea",620,28,51.4752,-0.167161
"Wandsworth Town Station, Wandsworth",621,33,51.4609,-0.187427
"Lansdowne Road, Ladbroke Grove",622,29,51.5075,-0.205536
"Nantes Close, Wandsworth",623,22,51.4619,-0.180792
"Courland Grove, Wandsworth Road",624,40,51.4729,-0.132103
"Queen's Circus, Battersea Park",625,28,51.4776,-0.149552
"Normand Park, West Kensington",626,24,51.48748542,-0.205064812
"Holden Street, Battersea",627,20,51.4688,-0.158231
"William Morris Way, Sands End",628,26,51.4688,-0.184319
"Morie Street, Wandsworth",629,28,51.46,-0.190184
"Clarence Walk, Stockwell",630,28,51.4707,-0.126994
"Battersea Park Road, Nine Elms",631,27,51.47996873,-0.141598339
"Sheepcote Lane, Battersea",632,28,51.4705,-0.163042
"Vereker Road, West Kensington",633,32,51.4896,-0.209379
"Brook Green South, Brook Green",634,33,51.4943,-0.215805
"Greyhound Road, Hammersmith",635,37,51.4861,-0.214428
"South Park, Sands End",636,28,51.4671,-0.193502
"Spencer Park, Wandsworth Common",637,25,51.4579,-0.174692
"Falcon Road, Clapham Junction",638,28,51.4666,-0.169821
"Coomer Place, West Kensington",639,27,51.4836,-0.202039
"Silverthorne Road, Battersea",640,28,51.4729,-0.148059
"Archbishop's Park, Waterloo",641,23,51.4982,-0.117496
"Fawcett Close, Battersea",642,36,51.4692,-0.174486
"All Saints' Road, Portobello",643,22,51.519,-0.204764
"Rainville Road, Hammersmith",644,36,51.4837,-0.223852
"Great Suffolk Street, The Borough",645,21,51.5017,-0.100292
"Buckingham Gate, Westminster",646,16,51.4989,-0.137425
"Richmond Way, Shepherd's Bush",647,27,51.5004,-0.217515
"Peterborough Road, Sands End",648,30,51.469,-0.196275
"World's End Place, West Chelsea",649,22,51.4818,-0.180275
"St. Mark's Road, North Kensington",650,23,51.5169,-0.213872
"Thorndike Close, West Chelsea",651,25,51.4809,-0.183854
"Evesham Street, Avondale",652,29,51.5115,-0.21819
"Simpson Street, Clapham Junction",653,25,51.47353218,-0.170609447
"Ashmole Estate, Oval",654,34,51.4827,-0.117662
"Crabtree Lane, Fulham",655,27,51.4829,-0.219346
"Broomhouse Lane, Parsons Green",656,29,51.4684,-0.199136
"Blythe Road West, Shepherd's Bush",657,21,51.4997,-0.221792
"Ethelburga Estate, Battersea Park",658,30,51.4773,-0.164786
"Blackfriars Station, St. Paul's",659,36,51.511934,-0.1030789
"West Kensington Station, West Kensington",660,22,51.4909,-0.20603
"All Saints Church, Portobello",661,37,51.5163,-0.202609
"Phene Street, Chelsea",662,24,51.485,-0.16792
"Clarendon Road, Avondale",663,24,51.5132,-0.211594
"Austin Road, Battersea Park",664,24,51.47988963,-0.153133946
"Smugglers Way, Wandsworth",665,28,51.4611,-0.191723
"Shepherd's Bush Road North, Shepherd's Bush",667,34,51.5016,-0.222293
"Ravenscourt Park Station, Hammersmith",668,26,51.4942,-0.23677
"Teversham Lane, Stockwell",669,39,51.4761,-0.123258
"Ashley Crescent, Battersea",670,28,51.4672,-0.152249
"Parsons Green Station, Parsons Green",671,55,51.4751,-0.201968
"Hibbert Street, Battersea",673,36,51.4652,-0.180389
"Carnegie Street, King's Cross",674,40,51.5355,-0.116191
"Usk Road, Clapham Junction",675,30,51.46830027,-0.181973204
"Hartington Road, Stockwell",676,35,51.4779,-0.126874
"Heath Road, Battersea",677,27,51.4687,-0.146545
"Esmond Street, Putney",678,30,51.4623,-0.211469
"Orbel Street, Battersea",679,26,51.4745,-0.170211
"Westbridge Road, Battersea",680,28,51.4777,-0.170329
"Bishop's Avenue, Fulham",681,46,51.473,-0.21475
"Crisp Road, Hammersmith",682,46,51.4881,-0.226606
"Dorothy Road, Clapham Junction",683,28,51.4651,-0.163751
"Neville Gill Close, Wandsworth",684,32,51.4548,-0.195197
"Osiers Road, Wandsworth",685,30,51.4607,-0.198735
"Beryl Road, Hammersmith",686,26,51.4881,-0.222456
"Maclise Road, Olympia",687,26,51.4976,-0.211456
"Northfields, Wandsworth",688,28,51.461,-0.200668
"Spanish Road, Clapham Junction",689,30,51.46654751,-0.18163003
"Stanley Grove, Battersea",690,24,51.4705,-0.15213
"Erin Close, Walham Green",691,24,51.4795,-0.195777
"Cadogan Close, Victoria Park",692,22,51.5421,-0.0289416
"Felsham Road, Putney",693,18,51.4648,-0.215619
"Putney Rail Station, Putney",694,20,51.4607,-0.216526
"Islington Green, Angel",695,21,51.5364,-0.102758
"Charing Cross Hospital, Hammersmith",696,21,51.4873,-0.217996
"Charlotte Terrace, Angel",697,25,51.5364,-0.112721
"Shoreditch Court, Haggerston",698,35,51.5391,-0.0703294
"Belford House, Haggerston",699,39,51.5367,-0.0702303
"Battersea Church Road, Battersea",700,25,51.477,-0.174347
"Vicarage Crescent, Battersea",701,30,51.4729,-0.176267
"Durant Street, Bethnal Green",702,24,51.5287,-0.0655503
"St. Bride Street, Holborn",703,25,51.5151,-0.105344
"Mexfield Road, East Putney",704,18,51.4568,-0.202802
"Upper Richmond Road, Putney",705,25,51.46586412,-0.21321587
"Snowsfields, London Bridge",706,31,51.5022,-0.0836329
"Barons Court Station, West Kensington",707,32,51.4902,-0.215087
"Disraeli Road, Putney",708,33,51.4616,-0.216146
"Montserrat Road , Putney",709,23,51.4632,-0.215551
"Albert Bridge Road, Battersea Park",710,20,51.4744,-0.163348
"Everington Street, Fulham",711,31,51.4834,-0.216306
"Mile End Stadium, Mile End",712,22,51.5185,-0.0349037
"Hawley Crescent, Camden Town",713,22,51.541,-0.143261
"Stewart's Road, Wandsworth Road",714,28,51.48057796,-0.138028341
"Aylward Street, Stepney",715,22,51.5156,-0.0490672
"Stainsby Road , Poplar",716,24,51.5154,-0.023565
"Dunston Road , Haggerston",717,43,51.5366,-0.0758857
"Ada Street, Hackney Central",718,45,51.5357,-0.0602918
"Victoria Park Road, Hackney Central",719,34,51.5364,-0.0541623
"Star Road, West Kensington",720,24,51.4872,-0.205279
"Wendon Street, Old Ford",721,18,51.536,-0.0262627
"Finnis Street, Bethnal Green",722,19,51.5246,-0.0586315
"Stephendale Road, Sands End",723,48,51.4682,-0.190346
"Alma Road, Wandsworth",724,28,51.458,-0.184806
"Walworth Square, Walworth",725,24,51.49132,-0.096519
"Alfreda Street, Battersea Park",726,22,51.4751,-0.150908
"Chesilton Road, Fulham",727,23,51.4757,-0.205876
"Putney Bridge Road, East Putney",728,29,51.462,-0.206241
"St. Peter's Terrace, Fulham",729,22,51.47905925,-0.20850646
"Bridge Avenue, Hammersmith",730,18,51.4921,-0.229117
"Michael Road, Walham Green",731,37,51.4773,-0.18921
"Duke Street Hill, London Bridge",732,21,51.5063,-0.087263
"Park Lane, Mayfair",733,18,51.5054,-0.150817
"Plough Terrace, Clapham Junction",734,31,51.4623,-0.175407
"Grant Road East, Clapham Junction",735,35,51.4649,-0.173029
"Queensdale Road, Shepherd's Bush",736,28,51.5066,-0.216104
"Fulham Broadway, Walham Green",737,26,51.4799,-0.194117
"Imperial Road, Sands End",738,37,51.4751,-0.187279
"Hortensia Road, West Brompton",739,28,51.4818,-0.185274
"Sirdar Road, Avondale",740,26,51.5109,-0.214595
"Freston Road, Avondale",741,23,51.513,-0.219487
"Blenheim Crescent, Ladbroke Grove",742,22,51.5151,-0.208565
"Oxford Road, Putney",743,29,51.4608,-0.212608
"Ingrave Street, Clapham Junction",744,30,51.46760102,-0.172303731
"Upcerne Road, West Chelsea",745,29,51.4782,-0.182435
"Lots Road, West Chelsea",746,24,51.4796,-0.179039
"Ormonde Gate, Chelsea",747,24,51.488,-0.161765
"Hertford Road, De Beauvoir Town",748,25,51.5373,-0.0792018
"Haggerston Road, Haggerston",749,37,51.5393,-0.0742847
"Culvert Road, Battersea",750,27,51.4711,-0.15785
"Newton Street, Covent Garden",751,24,51.5161,-0.120909
"London Street, Paddington",752,19,51.5151971,-0.173787104
"Grenfell Road, Avondale",754,24,51.5129,-0.214763
"The Vale, Chelsea",755,23,51.48562876,-0.175099746
"Prince of Wales Drive, Battersea Park",756,21,51.4752,-0.15917
"Harcourt Terrace, West Brompton",757,24,51.488,-0.187405
"Westbourne Park Road, Portobello",758,23,51.5179,-0.201005
"Broadley Terrace, Marylebone",759,18,51.5246,-0.165669
"Rossmore Road, Marylebone",760,18,51.5253,-0.163795
"Humbolt Road, Fulham",761,27,51.4832,-0.211861
"Storey's Gate, Westminster",762,21,51.5007,-0.129699
"Mile End Park Leisure Centre, Mile End",763,47,51.5206,-0.0325665
"St. John's Road, Clapham Junction",764,33,51.4624,-0.168292
"Ranelagh Gardens, Fulham",765,39,51.4676,-0.206827
"Ram Street, Wandsworth",766,25,51.4575,-0.192166
"Santos Road, Wandsworth",767,30,51.4571,-0.200806
"Clapham Common North Side, Clapham Common",768,37,51.4613,-0.159322
"Sandilands Road, Walham Green",769,21,51.4736,-0.191803
"Gwendwr Road, West Kensington",770,30,51.491,-0.209121
"Rifle Place, Avondale",771,21,51.5092,-0.216016
"Binfield Road, Stockwell",772,35,51.4725,-0.122832
"Tallis Street, Temple",773,24,51.5119,-0.107349
"Hurlingham Park, Parsons Green",774,20,51.4701,-0.20464
"Little Brook Green, Brook Green",775,33,51.4967,-0.223868
"Abyssinia Close, Clapham Junction",776,20,51.4603,-0.167029
"Limburg Road, Clapham Junction",777,21,51.46206337,-0.165297
"Houndsditch, Aldgate",779,28,51.5144,-0.077179
"Imperial Wharf Station, Sands End",780,25,51.4747,-0.183165
"Victoria & Albert Museum, South Kensington",781,30,51.4967,-0.172065
"Halford Road, West Kensington",782,22,51.48401788,-0.197598273
"Monier Road, Hackney Wick",783,24,51.54045778,-0.021597816
"East Village, Queen Elizabeth Olympic Park",784,34,51.5463,-0.00993526
"Aquatic Centre, Queen Elizabeth Olympic Park",785,62,51.5409,-0.0105106
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",786,44,51.5494,-0.0157176
"Timber Lodge, Queen Elizabeth Olympic Park",787,35,51.5468,-0.0146913
"Copper Box Arena, Queen Elizabeth Olympic Park",788,27,51.54506244,-0.020477629
"Podium, Queen Elizabeth Olympic Park",789,31,51.5387,-0.0118895
"Stratford Station, Stratford",790,28,51.5419598,-0.004820731
"Blackfriars Road, Southwark",792,41,51.5055,-0.104541
"Cromer Street, Bloomsbury",793,28,51.5283,-0.119559
"Victoria Rise, Clapham Common",794,23,51.461376,-0.1478047
"Euston Square Gardens, Euston",795,32,51.5276,-0.134849
"Coram Street, Bloomsbury",796,29,51.524,-0.12641
"Ossulston Street, Somers Town",797,30,51.52930361,-0.128281945
"Birkenhead Street, King's Cross",798,26,51.5302,-0.122299
"Kings Gate House, Westminster",799,24,51.4977,-0.137599
"Sopwith Way, Battersea Park",800,28,51.48125461,-0.149088646
"Lavington Street, Bankside",801,29,51.5052,-0.0980318
"Albert Square, Stockwell",802,32,51.47659006,-0.118256789
"Southwark Street, Bankside",803,23,51.50540994,-0.098341088
"Good's Way, King's Cross",804,27,51.5347,-0.125079
"The Metropolitan, Portobello",805,18,51.520509,-0.20080483
"Handyside Street, King's Cross",806,27,51.53724,-0.12481
"Bevington Road West, North Kensington",807,27,51.52113388,-0.208617281
"Gauden Road, Clapham",808,28,51.464995,-0.13090885
"Lincoln's Inn Fields, Holborn",809,27,51.51582693,-0.114998086
"Tate Modern, Bankside",810,31,51.50672097,-0.098884952
"Westferry Circus, Canary Wharf",811,36,51.50569679,-0.027775894
"Here East North, Queen Elizabeth Olympic Park",812,28,51.54872406,-0.022626668
"New Spring Gardens Walk, Vauxhall",813,40,51.48780745,-0.122759626
"Clapham Road, Lingham Street, Stockwell",814,30,51.47143307,-0.123670736
"Lambeth Palace Road, Waterloo",815,35,51.50045247,-0.115171479
"Here East South, Queen Elizabeth Olympic Park",816,28,51.54872406,-0.022626668
"Riverlight South, Nine Elms",817,26,51.48133503,-0.13821289
"Westminster Pier, Westminster",818,27,51.501513,-0.12382352
"Belvedere Road 2, South Bank",819,36,51.50631683,-0.114842002
"Victory Place, Walworth",820,24,51.49266501,-0.092486949
"Battersea Power Station, Battersea Park",821,27,51.48351589,-0.147702349
"Allington Street, Victoria",826,28,51.496858,-0.142952
"Cranmer Road, Stockwell",827,24,51.479593,-0.111481
"Normandy Road, Stockwell",828,32,51.473874,-0.112581
"Wynne Road, Stockwell",829,25,51.469217,-0.112687
"Sidney Road, Stockwell",830,27,51.469202,-0.119023
"St John's Crescent, Brixton",831,25,51.466231,-0.113184
"Ferndale Road, Brixton",832,30,51.464016,-0.115795
"Saltoun Road, Brixton",833,42,51.460232,-0.115375
"Gas Holders, Battersea Park",834,26,51.477966,-0.147857
"Farringdon Street, Holborn",835,26,51.516785,-0.1049478
"York Way, Kings Cross",836,26,51.541596,-0.125442
"Fore Street Avenue, Guildhall",838,25,51.518093,-0.0914017
"Sea Containers, South Bank",839,30,51.507974,-0.1068403
"George Row, Bermondsey",840,22,51.498585,-0.0689818
"Tower Wharf, Bermondsey",841,24,51.500845,-0.0747043
"Temple Gardens, Temple",842,24,51.510981,-0.1083225
"Canada Water Station, Rotherhithe",844,35,51.498439,-0.049150215
"Bermondsey Station, Bermondsey",845,30,51.497995,-0.063471392
